id_convocatoria,numero_bdns,titulo,organo,fecha_publicacion,tipo,estado,url,fuente,importe_total_eur,n_beneficiarios
1117747,916186,"Resolución de 29 de junio de 2026 de la Dirección de la AECID, por la que se aprueba la convocatoria de Becas MAEC-AECID para la ciudadanía de países de África y Oriente Medio, 2026-2027: Programa África-Med Máster.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2026-06-30,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/916186,BDNS,0.0,0
1107837,906276,"Resolución de 18 de mayo de 2026 de la Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de Becas MAEC-AECID para la ciudadanía de países de América Latina, África y Asia 2026-2027.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2026-05-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/906276,BDNS,0.0,0
1107822,906261,"Resolución de 18 de mayo de 2026 dela Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de Becas MAEC-AECID para capacitación de jóvenes españoles 2026-2027: Programa Colegio de Europa.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2026-05-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/906261,BDNS,0.0,0
1107809,906248,"Resolución de 18 de mayo de 2026 de la Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de Becas MAEC-AECID para residencias en la Real Academia de España en Roma, 2026-2027.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2026-05-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/906248,BDNS,0.0,0
1106397,904836,"Resolución, de 7 de mayo de 2026, de la Dirección de la AECID por la que se aprueba convocatoria de concesión de subvenciones para la realización de convenios de cooperación para el desarrollo sostenible y la solidaridad global para el periodo 2026-2029.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2026-05-11,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/904836,BDNS,0.0,0
1103657,902096,Resolución de la Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID) por la que se convoca la décimo quinta edición del Premio Nacional de Educación para la Solidaridad Global “Vicente Ferrer”,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2026-04-28,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/902096,BDNS,0.0,0
1099139,897578,Resolución de 27 de marzo de 2026 la Dirección de la AECID por la que se aprueba la convocatoria pública de concesión de subvenciones para la realización de proyectos de cooperación para el desarrollo y la solidaridad global correspondiente al año 2026,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2026-04-08,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/897578,BDNS,0.0,0
1098952,897391,Resolución de 27 de marzo de 2026 de la Dirección de la AECID por la que se aprueba la convocatoria pública de concesión de subvenciones para la realización de proyectos de cooperación para el desarrollo y la solidaridad global correspondiente al año 2026,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2026-04-07,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/897391,BDNS,0.0,0
1079075,877514,Resolución de 23 de diciembre de 2025 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la convocatoria de Lectorados MAEC-AECID en Universidades Extranjeras para el curso 2026/2027.,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2025-12-23,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/877514,BDNS,3186430.0,146
1070501,868940,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID para capacitación de jóvenes españoles 2025-2026.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2025-11-17,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/868940,BDNS,2064300.0,90
1039249,837688,"Resolución de 2 de junio de 2025 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de Becas MAEC-AECID para residencias en la Real Academia de España en Roma, 2025-2026.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2025-06-05,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/837688,BDNS,211400.0,21
1039010,837449,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de Becas MAEC-AECID para ciudadanos de países de América Latina, África y Asia 2025-2026: Programa ESCUELA DIPLOMATI",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2025-06-04,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/837449,BDNS,154647.80000000002,11
1033408,831847,"Resolución de 12 de mayo de 2025 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de Becas MAEC-AECID para capacitación de jóvenes españoles 2025-2026: Programa COE.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2025-05-12,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/831847,BDNS,305500.0,13
1033097,831536,Resolución de 8 de mayo de 2025 de la Presidencia de la AECID por la que se aprueba la convocatoria pública de concesión de subvenciones para la realización de proyectos de cooperación para el desarrollo correspondiente al año 2025,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2025-05-09,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/831536,BDNS,53885934.0,88
1016529,814969,"Resolución de 14 de febrero de 2025 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de Becas MAEC-AECID para países de América Latina y Filipinas, 2025-2026: Programa MASTER.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2025-02-14,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/814969,BDNS,2029680.94,94
1005381,803821,Resolución de 18 de diciembre de 2024 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la convocatoria de Lectorados MAEC-AECID en Universidades Extranjeras para el curso 2025/2026,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2024-12-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/803821,BDNS,3248601.0,151
987049,785489,Resolución del 5 de abril de 2024 de la Presidencia de la AECID: Acciones Humanitarias 2024,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2024-09-16,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/785489,BDNS,19999990.0,21
954659,753099,"Resolución de 5 de abril de 2024 de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID para capacitación de jóvenes españoles 2024-2025.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2024-04-05,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/753099,BDNS,0.0,0
